Кафедра,Руководитель,Группы
"",,"548-2, 598-1"
"",Матолыгин Андрей Анатольевич,"548-2, 598-1"
"",Матолыгин Андрей Анатольевич,"548-2, 598-2, 598-1"
"",Мыльникова Евгения Вячеславовна,"548-2, 598-2, 598-1"
"",Зариковская Наталья Вячеславовна,""
"",Матолыгин Андрей Анатольевич,"598-2, 549, 599-1"
Конструирования Узлов и Деталей Радиоаппаратуры (КУДР),"","",""
"",Бомбизов Александр Александрович,239-2
"",Тренкаль Евгений Игоревич,"238-2, 239-2"
"",Бомбизов Александр Александрович,239-2
"",Еханин Сергей Георгиевич,238-2
"",Артищев Сергей Александрович,238-2
"",Кобзев Вячеслав Михайлович,238-2
"",Лощилов Антон Геннадьевич,238-2
Телевидения и Управления (ТУ),"","",""
"",Каменский Андрей Викторович,"148-4, 118, 119"
"",Жечев Евгений Сергеевич,"148-4, 149-4, 119"
"",Капустин Вячеслав Валериевич,"148-4, 119, 149-4"
"",Комнатнов Максим Евгеньевич,"148-4, 118"
"",Осинцев Артем,"148-4, 118"
"",Собко Александр Александрович,"148-4, 118"
"",Куксенко Сергей Петрович,"119, 518-1"
Радиотехнических Систем (РТС),"","",""
"",Безматерных Николай Геннадьевич,"128, 328-1, 318"
"",Пушкарёв Владимир Петрович,"128, 328-1, 318"
"",Аникин Алексей Сергеевич,1В8
"",Куприц Владимир Юрьевич,"126-2, 428-1"
"",Голиков Александр Михайлович,"1В9, 128, 127-1"
"",Голиков Александр Михайлович,127-1
"",Голиков Александр Михайлович,"128, 126-2, 127-1"
"",Мещеряков Александр Алексеевич,"126-2, 128, 127-1"
"",Аникин Алексей Сергеевич,"1В8, 127-1"
"",Христенко Алексей Викторович,"1В8, 127-1"
"",Куприц Владимир Юрьевич,126-2
"",Аникин Алексей Сергеевич,126-2
"",Голиков Александр Михайлович,127-1
"",Голиков Александр Михайлович,"128, 126-2"
Моделирования и системного анализа (МиСА),"","",""
математики (математики),"","",""
"",Магазинникова Анна Леонидовна,126-2
Радиоэлектроники и систем связи (РСС),"","",""
"",Фатеев Алексей Викторович,"126-2, 149-1"
"",Фатеев Алексей Викторович,149-1
Кафедра философии и социологии (ФС),"","",""
"",Мальцева Мария Александровна,629
"",Мальцева Мария Александровна,628
Сверхвысокочастотной и Квантовой Радиотехники (СВЧиКР),"","",""
"",Окунев Дмитрий Вадимович,159
"",Перин Антон Сергеевич,"159, 158"
"",Загородний Андрей Сергеевич,149-3
"",Семкин Артем Олегович,148-3
"",Трубачев Анатолий Андреевич,148-1
Кафедра безопасности информационных систем (БИС),"","",""
"",Харченко Сергей Сергеевич,"738-2, 718-1"
"",Харченко Сергей Сергеевич,"728-1, 727-1"
"",Романов Александр Сергеевич,"719-1, 748, 719-2, 747"
Истории и Социальной Работы (ИСР),"","",""
"",Зиновьева Валентина Ивановна,619
"",Берсенев Максим Валерьевич,619
"",Шульмин Максим Петрович,618
Автоматизации Обработки Информации (АОИ),"","",""
"",Зариковская Наталья Вячеславовна,"428-1, 428-2"
"",Перемитина Татьяна Олеговна,"428-2, 428-4, 428-1"
"",Зариковская Наталья Вячеславовна,"428-1, 428-4"
Экономики (Экономики),"","",""
"",Самкова Татьяна Юрьевна,"889-1, 889-2"
"",Спрынцова Виктория Эдуардовна,"888-2, 888-1"
Кафедра информационного права (ИП),"","",""
"",,"099-1, 099-2"
"",Мельникова Валентина Григорьевна,"099-1, 099-2"
"",Газизов Родион Маратович,"098-2, 098-1"
Конструирования и Производства Радиоаппаратуры (КИПР),"","",""
"",Кривин Николай Николаевич,"209, 238-1"
"",Кривин Николай Николаевич,"209, 239-1"
"",,"239-1, 209, 238-1"
"",Кривин Николай Николаевич,208
"",Масалов Евгений Викторович,208
"",Кривин Николай Николаевич,208
Телекоммуникаций и Основ Радиотехники (ТОР),"","",""
"",Попов Юрий Борисович,"168, 169"
"",Рогожников Евгений Васильевич,"148-4, 148-2, 168"
"",Покаместов Дмитрий Алексеевич,148-2
"",Брагин Дмитрий Сергеевич,"1А8, 169, 1А9, 168"
"",Пелявин Дмитрий Юрьевич,148-1
"",Пуговкин Алексей Викторович,118
"",Дмитриев Владимир Дмитриевич,"148-2, 149-2"
